Sample_num,site,date,Month,Season,SeasonA,Year,Jul_date,Temp.ysi,Sal.ysi,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per_full,HSIwet,HSI_wet,lipid_num,liverFA,muscleFA,Harp,Gammarid,Poly,calanoid,crab,Caprellidae,Isopod,gastropod,Corphiidae,Shrimp,cumacea,Euphasid,Mysid,OTHER,Harp4,Gammarid4,Poly4,calanoid4,crab4,Caprellidae4,Isopod4,gastropod4,Corphiidae4,Shrimp4,cumacea4
247,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,56,52,1.0379,I,0.0045,4,3.18,NA,0.004498201,349L,2.246,97.754,78.78787879,0,0,0,0,21.21212121,0,0,0,0,0,0,0,0,2.9793,0,0,0,0,2.1461,0,0,0,0,0
248,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,58,54,1.4691,I,0.0046,6,5.96,NA,0.003340595,350L,1.122,98.878,0,0,0,0,0,58.49056604,0,0,0,0,41.50943396,0,0,0,0,0,0,0,0,2.7655,0,0,0,0,2.5383
249,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,61,57,1.8554,I,0.0082,6,6.69,NA,0.004759141,351L,0.914,99.086,0,0,0,0,0,99.29577465,0,0,0,0,0.176056338,0,0.528169014,0,0,0,0,0,0,3.1567,0,0,0,0,0.6478
250,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,56,52,1.3274,I,0.0066,6,5.74,NA,0.005302909,352L,1.418,98.582,1.672240803,6.35451505,0,0,0,91.97324415,0,0,0,0,0,0,0,0,1.1372,1.5877,0,0,0,3.0968,0,0,0,0,0
251,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,56,51,1.0474,I,0.0026,4,4.31,NA,0.00260078,353L,1.73,98.27,0,0,0,0,0,43.68932039,0,0,0,0,0,0,56.31067961,0,0,0,0,0,0,2.571,0,0,0,0,0
252,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,65,61,2.0424,I,0.0126,6,5.29,NA,0.006556695,354L,1.891,98.109,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0
253,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,50,46,0.9008,I,0.0043,6,7.93,NA,0.00521149,355L,0.91,99.09,66.01941748,0,0,0,0,13.59223301,0,0,0,0,20.38834951,0,0,0,2.8505,0,0,0,0,1.9201,0,0,0,0,2.1249
254,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,58,54,1.2545,I,0.0084,5,4.73,NA,0.007078453,356L,2.946,97.054,65.97938144,0,0,0,0,0,0,0,0,0,34.02061856,0,0,0,2.85,0,0,0,0,0,0,0,0,0,2.4151
255,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,57,52,1.3571,I,0.0045,5,4.68,NA,0.003490808,357L,1.399,98.601,0,0,0,0,0,99.06976744,0,0,0,0,0.930232558,0,0,0,0,0,0,0,0,3.1549,0,0,0,0,0.9821
256,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,58,52,1.2481,I,0.0064,6,8.1,NA,0.005611082,358L,2.769,97.231,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0
257,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,60,56,1.3162,I,0.0063,6,6.63,NA,0.005152953,359L,1.75,98.25,0,0,0,0,0,99.61389961,0,0,0,0,0.386100386,0,0,0,0,0,0,0,0,3.1592,0,0,0,0,0.7883
258,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,61,57,1.4418,I,0.0097,5,5.6,NA,0.007177742,360L,1.475,98.525,4.633204633,0,0,0,0,95.36679537,0,0,0,0,0,0,0,0,1.4671,0,0,0,0,3.125,0,0,0,0,0
259,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,61,56,1.6715,I,0.0094,6,3.22,NA,0.005844681,361L,10.695,89.305,0,0,0,0,0,98.1981982,0,1.801801802,0,0,0,0,0,0,0,0,0,0,0,3.1479,0,1.1586,0,0,0
260,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,53,49,1.0231,I,0.0054,5,4.34,NA,0.005548135,362L,3.333,96.667,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0
261,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,55,51,1.3008,I,0.009,4,3.98,NA,0.007258065,363L,2.754,97.246,1.851851852,0,0,0,0,98.14814815,0,0,0,0,0,0,0,0,1.1665,0,0,0,0,3.1475,0,0,0,0,0
262,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,55,51,1.1319,I,0.0055,4,3.1,NA,0.005039861,364L,4.879,95.121,92.85714286,0,0,0,0,0,0,0,0,0,7.142857143,0,0,0,3.1042,0,0,0,0,0,0,0,0,0,1.6348
263,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,59,54,1.3941,I,0.0055,6,5.78,NA,0.004204893,365L,2.045,97.955,0.45045045,0,0,0,0,65.31531532,0,0,0,0,34.23423423,0,0,0,0.8192,0,0,0,0,2.8428,0,0,0,0,2.4189
264,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,62,58,1.6267,I,0.0088,6,8.16,NA,0.005925128,366L,2.422,97.578,0,3.258426966,0,0,0,96.62921348,0,0,0,0,0.112359551,0,0,0,0,1.3435,0,0,0,3.1353,0,0,0,0,0.579
265,EG South,7/2/2020,July,Summer,Jun-Jul,2020,184,10.3,32,56,53,1.316,I,0.0044,4,2.7,NA,0.003448006,367L,2.273,97.727,1.176470588,0,98.82352941,0,0,0,0,0,0,0,0,0,0,0,1.0415,0,3.1529,0,0,0,0,0,0,0,0
