Lipid Sample ID,Fish # (to pair liver & flesh),Alisa's Age Estimate,Sex,Year,Month,Day,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Fulton's K,HIS,Total_FA_mg,PerLiverFA,PerMuscleFA
321L,111,0,M,2020,11,,EG West,Cook Bay,Pacific cod,103,112,10.793,0.988,1.569,51.04,41.015,58.985
142L,46,0,F,2018,10,,EG West,Cook Bay,Pacific cod,96,103,9.241,1.044,1.215,51.173,30.442,69.558
387L,190,0,I,2020,8,,EG South,Cook Bay,Pacific cod,101,108,11.153,1.082,0.712,52.393,4.382,95.618
341L,131,0,I,2020,9,,EG South,Cook Bay,Pacific cod,119,129,17.4,1.033,1.299,52.818,26.644,73.356
158L,62,0,M,2018,12,,EG West,Cook Bay,Pacific cod,95,102,8.975,1.047,2.698,53.397,30.429,69.571
143L,47,0,M,2018,10,,EG West,Cook Bay,Pacific cod,101,109,13.292,1.29,0.725,54.32,19.819,80.181
393L,196,0,I,2020,10,,EG South,Cook Bay,Pacific cod,110,118,13.908,1.045,0.852,54.949,3.383,96.617
408L,211,0,I,2020,10,,EG South,Cook Bay,Pacific cod,101,109,10.701,1.039,1.489,55.592,27.345,72.655
404L,207,0,I,2020,10,,EG South,Cook Bay,Pacific cod,107,115,12.938,1.056,0.992,66.903,8.552,91.448
170L,74,0,F,2018,9,,EG West,Cook Bay,Pacific cod,111,120,16.741,1.224,0.703,71.429,7.453,92.547
317L,107,0,M,2020,11,,EG South,Cook Bay,Pacific cod,99,107,10.213,1.053,2.121,80.724,50.223,49.777
398L,201,0,I,2020,10,,EG South,Cook Bay,Pacific cod,124,133,21.845,1.146,1.099,81.97,19.231,80.769
144L,48,0,M,2018,10,,EG West,Cook Bay,Pacific cod,108,116,15.926,1.264,2.08,84.082,30.624,69.376
406L,209,0,M,2020,10,,EG South,Cook Bay,Pacific cod,116,125,15.513,0.994,1.543,103.035,40.453,59.547
318L,108,0,M,2020,11,,EG West,Cook Bay,Pacific cod,89,96,6.753,0.958,4.432,104.151,73.541,26.459
401L,204,0,M,2020,10,,EG South,Cook Bay,Pacific cod,125,134,20.658,1.058,1.895,150.026,40.278,59.722
446M,136,0,I,2020,6,,EG South,Cook Bay,Pacific cod,24,27,0.143,1.034,NA,NA,NA,NA
447M,137,0,I,2020,6,,EG South,Cook Bay,Pacific cod,25,28,0.15,0.963,NA,NA,NA,NA
448M,138,0,I,2020,6,,EG South,Cook Bay,Pacific cod,21,23,0.114,1.233,NA,NA,NA,NA
449M,139,0,I,2020,6,,EG South,Cook Bay,Pacific cod,26,29,0.199,1.132,NA,NA,NA,NA
451M,141,0,I,2020,6,,EG South,Cook Bay,Pacific cod,25,28,0.202,1.292,NA,NA,NA,NA
454M,144,0,I,2020,6,,EG South,Cook Bay,Pacific cod,31,34,0.284,0.952,NA,NA,NA,NA
455M,145,0,I,2020,6,,EG South,Cook Bay,Pacific cod,28,31,0.235,1.07,NA,NA,NA,NA
456M,146,0,I,2020,6,,EG South,Cook Bay,Pacific cod,31,35,0.294,0.986,NA,NA,NA,NA
457M,147,0,I,2020,6,,EG South,Cook Bay,Pacific cod,26,29,0.168,0.956,NA,NA,NA,NA
458M,148,0,I,2020,6,,EG South,Cook Bay,Pacific cod,35,38,0.436,1.016,NA,NA,NA,NA
459M,149,0,I,2020,6,,EG South,Cook Bay,Pacific cod,35,38,0.514,1.2,NA,NA,NA,NA
460M,150,0,I,2020,6,,EG South,Cook Bay,Pacific cod,34,37,0.428,1.088,NA,NA,NA,NA
461M,151,0,I,2020,6,,EG South,Cook Bay,Pacific cod,30,33,0.259,0.957,NA,NA,NA,NA
